iter	Passed	Remaining
409	4117	5925
410	4125	5912
411	4135	5901
412	4143	5889
413	4152	5877
414	4160	5864
415	4168	5851
416	4176	5839
417	4185	5827
418	4193	5815
419	4202	5803
420	4210	5790
421	4218	5778
422	4226	5765
423	4235	5754
424	4244	5742
425	4252	5730
426	4261	5718
427	4271	5708
428	4279	5695
429	4288	5685
430	4296	5672
431	4305	5660
432	4313	5648
433	4321	5636
434	4329	5624
435	4338	5611
436	4347	5600
437	4355	5588
438	4363	5576
439	4371	5563
440	4380	5552
441	4388	5540
442	4397	5529
443	4406	5517
444	4414	5505
445	4422	5493
446	4431	5482
447	4439	5470
448	4448	5459
449	4457	5447
450	4467	5438
451	4475	5425
452	4484	5414
453	4492	5403
454	4501	5392
455	4510	5380
456	4518	5369
457	4527	5357
458	4535	5345
459	4543	5334
460	4552	5322
461	4561	5311
462	4569	5300
463	4578	5288
464	4586	5276
465	4595	5266
466	4603	5254
467	4612	5243
468	4621	5232
469	4631	5222
470	4640	5211
471	4649	5200
472	4657	5188
473	4665	5177
474	4673	5165
475	4682	5154
476	4690	5142
477	4699	5131
478	4707	5120
479	4715	5108
480	4724	5098
481	4733	5086
482	4741	5075
483	4749	5063
484	4758	5052
485	4766	5040
486	4774	5029
487	4782	5018
488	4791	5006
489	4800	4995
490	4808	4985
491	4817	4974
492	4827	4964
493	4836	4953
494	4844	4942
495	4852	4931
496	4861	4919
497	4869	4908
498	4877	4897
499	4886	4886
500	4895	4875
501	4904	4865
502	4912	4854
503	4921	4843
504	4929	4832
505	4938	4821
506	4946	4809
507	4954	4798
508	4962	4787
509	4971	4776
510	4979	4765
511	4988	4754
512	4997	4744
513	5007	4734
514	5015	4723
515	5024	4712
516	5032	4701
517	5040	4690
518	5049	4679
519	5057	4668
520	5066	4657
521	5074	4646
522	5082	4635
523	5091	4624
524	5106	4620
525	5114	4609
526	5123	4598
527	5131	4587
528	5140	4576
529	5148	4565
530	5156	4554
531	5166	4544
532	5174	4533
533	5183	4523
534	5192	4513
535	5202	4503
536	5211	4493
537	5219	4482
538	5228	4471
539	5236	4460
540	5244	4449
541	5252	4438
542	5261	4427
543	5269	4417
544	5277	4406
545	5286	4395
546	5294	4384
547	5302	4373
548	5308	4361
549	5317	4350
550	5325	4339
551	5333	4328
552	5342	4318
553	5350	4307
554	5357	4295
555	5365	4284
556	5374	4274
557	5383	4264
558	5392	4254
559	5400	4243
560	5409	4233
561	5418	4222
562	5426	4212
563	5432	4199
564	5440	4188
565	5448	4178
566	5457	4167
567	5465	4156
568	5473	4146
569	5482	4135
570	5490	4124
571	5498	4114
572	5506	4103
573	5515	4093
574	5524	4082
575	5533	4073
576	5541	4062
577	5550	4052
578	5560	4043
579	5568	4032
580	5577	4022
581	5585	4011
582	5593	4001
583	5602	3990
584	5610	3980
585	5619	3969
586	5627	3959
587	5636	3949
588	5644	3938
589	5650	3926
590	5658	3916
591	5667	3905
592	5673	3893
593	5680	3882
594	5689	3872
595	5697	3861
596	5705	3851
597	5714	3841
598	5723	3831
599	5732	3821
600	5742	3812
601	5752	3802
