iter	RMSE
0	15.82689167
1	15.73056361
2	15.68114111
3	15.53449215
4	15.4083514
5	15.3023917
6	15.20629979
7	15.11513136
8	14.99329911
9	14.85065545
10	14.74566506
11	14.6122384
12	14.53606732
13	14.43531265
14	14.30880527
15	14.19687938
16	14.08763134
17	13.96621782
18	13.84319693
19	13.70745331
20	13.63653258
21	13.53782856
22	13.41855752
23	13.29845237
24	13.22710629
25	13.15052072
26	13.06036515
27	12.93222302
28	12.85209511
29	12.76952957
30	12.7038052
31	12.63174112
32	12.57307548
33	12.46651904
34	12.35530232
35	12.24955239
36	12.17999199
37	12.12300361
38	12.0325139
39	11.97906643
40	11.87034881
41	11.77318369
42	11.68384566
43	11.61707054
44	11.5227282
45	11.43770687
46	11.36067525
47	11.3041233
48	11.23011157
49	11.19383965
50	11.10804577
51	11.01545014
52	10.9515818
53	10.93196409
54	10.84915948
55	10.79095874
56	10.71828179
57	10.65742081
58	10.59649865
59	10.53957616
60	10.46918162
61	10.39458686
62	10.35027784
63	10.28119902
64	10.20251869
65	10.13659205
66	10.08108749
67	10.00593964
68	9.947159935
69	9.882140633
70	9.843556554
71	9.75744906
72	9.695332877
73	9.634077319
74	9.560554355
75	9.490569274
76	9.452375228
77	9.404466743
78	9.35612792
79	9.299289022
80	9.230007937
81	9.156679911
82	9.124120125
83	9.075149379
84	9.024645281
85	8.985310648
86	8.951870679
87	8.880387474
88	8.848211145
89	8.788268725
90	8.740432872
91	8.673853457
92	8.624067449
93	8.571045486
94	8.496233896
95	8.435754631
96	8.37971421
97	8.349206682
98	8.313131073
99	8.260473969
100	8.188596906
101	8.140166724
102	8.120595508
103	8.050786445
104	8.012121757
105	7.969997551
106	7.932609511
107	7.887436331
108	7.858226307
109	7.793334187
110	7.754729318
111	7.697138896
112	7.645427664
113	7.598462997
114	7.579390741
115	7.539408339
116	7.495963094
117	7.463484338
118	7.40738016
119	7.355353422
120	7.310552605
121	7.280290631
122	7.264217714
123	7.195965199
124	7.14024109
125	7.094610519
126	7.058669789
127	7.001190552
128	6.971219429
129	6.937445156
130	6.898154323
131	6.864797377
132	6.8192848
133	6.798104087
134	6.756662049
135	6.717395818
136	6.660764278
137	6.609253816
138	6.585417867
139	6.569878189
140	6.529295349
141	6.479505093
142	6.453933912
143	6.434145465
144	6.392325429
145	6.345390076
146	6.301414892
147	6.266719037
148	6.22574175
149	6.189047749
150	6.139611874
151	6.100243584
152	6.077572498
153	6.03720257
154	6.001259883
155	5.961116983
156	5.92459316
157	5.882612308
158	5.835920416
159	5.806281248
160	5.782504937
161	5.73870156
162	5.692790689
163	5.652831302
164	5.625972952
165	5.607820063
166	5.579137967
167	5.551801413
168	5.51106842
169	5.468508017
170	5.442974398
171	5.416017004
172	5.369968086
173	5.337054871
174	5.319080199
175	5.273769304
176	5.249477083
177	5.217002266
178	5.190885321
179	5.151970971
180	5.099760211
181	5.062503864
182	5.012339372
183	4.983627766
184	4.955818878
185	4.917726996
186	4.886871627
187	4.849304407
188	4.821602967
189	4.798939076
190	4.776273024
191	4.740927894
192	4.709141476
193	4.680481774
194	4.655187368
195	4.621782061
196	4.58373125
197	4.561350795
198	4.53115966
199	4.503874294
200	4.465671758
201	4.433438395
202	4.397777616
203	4.374444046
204	4.328797951
205	4.307734572
206	4.269586866
207	4.241661129
208	4.21507271
209	4.185851787
210	4.165125592
211	4.131840701
212	4.10860514
213	4.080854765
214	4.060254448
215	4.025791879
216	3.990513165
217	3.965699327
218	3.943767197
219	3.911190028
220	3.883742043
221	3.851015544
222	3.818987945
223	3.786271263
224	3.75253173
225	3.718962563
226	3.694078166
227	3.670585034
228	3.645516245
229	3.624635569
230	3.596409204
231	3.569938553
232	3.540043221
233	3.518082826
234	3.499009863
235	3.472403448
236	3.448105231
237	3.420395437
238	3.38983593
239	3.363170395
240	3.333495216
241	3.305224568
242	3.279190057
243	3.249307886
244	3.223341771
245	3.194033191
246	3.167755382
247	3.147387877
248	3.122725237
249	3.094887511
250	3.067271929
251	3.043339018
252	3.018105637
253	2.989582024
254	2.964267918
255	2.940833561
256	2.913568426
257	2.890879047
258	2.865331239
259	2.845763792
260	2.821840042
261	2.799095196
262	2.776895441
263	2.755904618
264	2.733244109
265	2.71122362
266	2.687701983
267	2.662335042
268	2.633155027
269	2.608977189
270	2.58804564
271	2.564077037
272	2.542631903
273	2.519956635
274	2.503832771
275	2.481164774
